Image ID,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature
Image1,0.7487956143127371,0.7487956143127371,0.7487956143127371,0.7487956143127371,0.7487956143127371,0.7487956143127371
Image2,0.6754640701527511,0.6754640701527511,0.6754640701527511,0.6754640701527511,0.6754640701527511,0.6754640701527511
Image3,0.5635712292206603,0.5635712292206603,0.5635712292206603,0.5635712292206603,0.5635712292206603,0.5635712292206603
